"name","value"
"pctl_1242_PartVnIIIntervalmDesc6Per","94"
"pctl_1242_SoundVaDescendingIntervallicStd","95"
"pctl_1242_PartBsDegree6Perrelative","45"
"pctl_1242_PartVnIIntervalsMajorAllPer","22"
"pctl_1242_PartBsDegree3Perrelative","94"
"pctl_1242_PartBsDegree1Perrelative","10"
"pctl_1242_SoundBsAmbitus","97"
"pctl_1242_PartVnDegree3Perrelative","2"
"pctl_1242_ScoreDegree6Perrelative","35"
"pctl_1242_PartHnIIIntervalPDesc8Per","74"
"pctl_1242_SoundVaIntervalPDesc4Per","85"
"pctl_1242_SoundVaIntervalM3Per","38"
"pctl_1242_SoundBsHighestNoteIndex","93"
"pctl_1242_PartHnIIIntervalP8Per","62"
"pctl_1242_SoundVaIntervalmDesc6Per","43"
"pctl_1242_PartVnIDescPartBsTexture","63"
"pctl_1242_PartVnIDegree1Perrelative","98"
"pctl_1242_SoundVaIntervalM2Per","90"
"pctl_1242_ScoreIntervalP4Per","95"
"pctl_1242_ScoreDegree2Perrelative","91"
"pctl_1242_PartVnIDegree3Perrelative","7"
"pctl_1242_SoundVaHighestNoteIndex","99"
"pctl_1242_ScoreIntervalPDesc8Per","95"
"pctl_1242_HarmonyKeyModulatoryvi","34"
"pctl_1242_PartVnIDegree7Perrelative","67"
"pctl_1242_ScoreDegreeDesc4Perrelative","21"
"pctl_1242_ScoreDynMeanweighted","64"
"pctl_1242_PartVnIIDegree3Perrelative","4"
"pctl_1242_PartVaDegree2Perrelative","87"
"pctl_1242_SoundVaIntervalP5Per","87"
"pctl_1242_SoundObIntervalM7Per","82"
"pctl_1242_PartVnIIDynGrad","27"
"pctl_1242_PartBsDynMean","35"
"pctl_1242_NumericTempo","14"
"pctl_1242_PartVnIIntervalM3Per","69"
"pctl_1242_PartVaDegree5Perrelative","64"
"pctl_1242_SoundVaLargestSemitonesAsc","96"
"pctl_1242_PartBsDegree4Perrelative","46"
"pctl_1242_SoundSopIntervalA2Per","95"
"pctl_1242_PartHnIIIntervalM3Per","76"
"pctl_1242_PartVaDynMean","36"
"pctl_1242_PartVnIDegreeDesc4Perrelative","29"
"pctl_1242_PartVnIIDegreeDesc6Perrelative","76"
"pctl_1242_PartVnIAccavgabsstep4Desc0","39"
"pctl_1242_SoundBsIntervalPDesc5Per","46"
"pctl_1242_PartBsDegree5Perrelative","65"
"pctl_1242_PartVnIIntervalsMajorAscPer","38"
"pctl_1242_PartHnIIIntervalm3Per","72"
"pctl_1242_HarmonyChordIVPer","37"
"pctl_1242_PartVnIIDegreeDesc4Perrelative","35"
"pctl_1242_ScoreAbsoluteIntervallicTrimDiff","81"
"pctl_1242_SoundSopIntervalm3Per","33"
"pctl_1242_SoundBsDescendingIntervallicStd","90"
"pctl_1242_HarmonyChordtypesmajorDesctriad","24"
"pctl_1242_PartObIIIntervalP4Per","60"
"pctl_1242_SoundVaAbsoluteIntervallicTrimDiff","51"
"pctl_1242_SoundVaIntervallicTrimDiff","38"
"pctl_1242_ScoreIntervalP8Per","62"
"pctl_1242_SoundVaIntervalP8Per","88"
"pctl_1242_SoundVaAbsoluteIntervallicKurtosis","13"
"pctl_1242_PartHnIIIntervalP4Per","60"
"pctl_1242_SoundHnIntervalPDesc5Per","60"
"pctl_1242_ScoreAbsoluteIntervallicStd","90"
"pctl_1242_ScoreDescendingIntervallicStd","94"
"pctl_1242_PartVaDegree1Perrelative","13"
"pctl_1242_ScoreLowestNoteIndex","26"
"ex_cosi_scoreoct_pct","12.2495706926159"
"ex_gal_scoreoct_pct","2.18003692785319"
"ex_perez_scoreoct_pct","1.39653027323204"
"ex_quelnocchier_vathirds_pct","21.4953271028037"
"ex_perez_vathirds_pct","4.04985001480558"
"ex_gal_vathirds_pct","2.37379198664041"
"ex_sonregina_sd_pct","34.21926910299"
"ex_gal_sd_pct","22.5239456011116"
"ex_perez_sd_pct","17.7780706159347"
"ex_sonregina_sdminor_pct","21.9269102990033"
"ex_gal_sdminor_pct","13.1177384293843"
"ex_sonregina_vi_pct","7.97342192691029"
"ex_gal_vi_pct","2.46257978138837"
"ex_perez_vi_pct","0.879949622279173"
"ex_dyn_laface","15.6869262424818"
"ex_dyn_gal","51.743159414308"
"ex_dyn_vivisuperbo","75.1855023666618"
"ex_dyn_hasse","60.32710785074"
"vote_ll_1239","G"
"vote_ll_1241","G"
"vote_ll_1242","G"
"vote_rl_1239","G"
"vote_rl_1241","G"
"vote_rl_1242","G"
"vote_rf_1239","G"
"vote_rf_1241","G"
"vote_rf_1242","G"
"vote_automl_1239","G"
"vote_automl_1241","G"
"vote_automl_1242","G"
"multi_automl_leader","a feed-forward neural network"
"ci_rl_MC","(-0.5111, -0.3111)"
"ci_rl_LL_raw","(0.0000, 0.0000)"
"ci_rl_RL_raw",NA
"ci_rl_RF_raw","(-0.0556, 0.0000)"
"ci_rl_AutoML_raw","(-0.0333, 0.0333)"
"ci_f1_rl_MC","(-0.6575, -0.5448)"
"ci_f1_rl_LL_raw","(0.0000, 0.0000)"
"ci_f1_rl_RL_raw",NA
"ci_f1_rl_RF_raw","(-0.0587, 0.0000)"
"ci_f1_rl_AutoML_raw","(-0.0340, 0.0340)"
"ci_mc_MC",NA
"ci_mc_LL_raw","(0.3111, 0.5111)"
"ci_mc_RL_raw","(0.3111, 0.5111)"
"ci_mc_RF_raw","(0.2889, 0.4889)"
"ci_mc_AutoML_raw","(0.3111, 0.5111)"
"ci_f1_mc_MC",NA
"ci_f1_mc_LL_raw","(0.5448, 0.6575)"
"ci_f1_mc_RL_raw","(0.5448, 0.6575)"
"ci_f1_mc_RF_raw","(0.5149, 0.6383)"
"ci_f1_mc_AutoML_raw","(0.5448, 0.6569)"
"multi_ci_rl_MC","(-0.4141, -0.2422)"
"multi_ci_rl_LL","(-0.1328, 0.0078)"
"multi_ci_rl_RL",NA
"multi_ci_rl_RF","(-0.0859, 0.0391)"
"multi_ci_rl_AutoML","(0.0391, 0.1484)"
"multi_ci_f1_rl_MC","(-0.4540, -0.2672)"
"multi_ci_f1_rl_LL","(-0.1888, 0.0163)"
"multi_ci_f1_rl_RL",NA
"multi_ci_f1_rl_RF","(-0.1651, 0.0484)"
"multi_ci_f1_rl_AutoML","(0.0961, 0.2645)"
"multi_ci_mc_MC",NA
"multi_ci_mc_LL","(0.1719, 0.3594)"
"multi_ci_mc_RL","(0.2422, 0.4141)"
"multi_ci_mc_RF","(0.2266, 0.3906)"
"multi_ci_mc_AutoML","(0.3281, 0.5156)"
"multi_ci_f1_mc_MC",NA
"multi_ci_f1_mc_LL","(0.2079, 0.3366)"
"multi_ci_f1_mc_RL","(0.2672, 0.4540)"
"multi_ci_f1_mc_RF","(0.2302, 0.3666)"
"multi_ci_f1_mc_AutoML","(0.4585, 0.6068)"
"ale_ci_rl_MC","(-0.6061, -0.4646)"
"ale_ci_rl_LL","(-0.0909, 0.0051)"
"ale_ci_rl_RL",NA
"ale_ci_rl_RF","(-0.1667, -0.0556)"
"ale_ci_rl_AutoML","(-0.0404, 0.0505)"
"ale_ci_f1_rl_MC","(-0.8092, -0.6341)"
"ale_ci_f1_rl_LL","(-0.1964, 0.0184)"
"ale_ci_f1_rl_RL",NA
"ale_ci_f1_rl_RF","(-0.3610, -0.1654)"
"ale_ci_f1_rl_AutoML","(-0.0411, 0.0936)"
"ale_ci_mc_MC",NA
"ale_ci_mc_LL","(0.4141, 0.5707)"
