"marker","pct","Composer","direction","rank","AriaId","AriaName","AriaOpera","value","mean_galuppi","mean_perez","mean_jommelli","mean_hasse"
"PartVnI_Degree3_Per_relative",5.78831627440348,"Johann Adolph Hasse","low",1,2069,"Va_tra","Art",0.0880503144654088,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree3_Per_relative",5.78831627440348,"Johann Adolph Hasse","low",2,195,"Chiamami_pur","Did",0.102678571428571,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree3_Per_relative",5.78831627440348,"Johann Adolph Hasse","low",3,863,"Felice_eta","Dem",0.104536489151874,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Baldassare Galuppi","high",1,809,"Son_regina","Did",0.117310443490701,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Baldassare Galuppi","high",2,767,"Quando_saprai","Did",0.11088504577823,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Baldassare Galuppi","high",3,1261,"Sperai_vicino","Dem",0.109865470852018,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Davide Perez","low",1,235,"Tu_mi_scorgi","Did",0.0180623973727422,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Davide Perez","low",2,1943,"Non_ti","Art",0.0192307692307692,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Davide Perez","low",3,93,"Misero_pargoletto","Dem",0.0194319880418535,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Niccolò Jommelli","high",1,463,"O_piu","Dem",0.127868852459016,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Niccolò Jommelli","high",2,1185,"Odo_il","Dem",0.123271889400922,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Niccolò Jommelli","high",3,502,"Temo_in","Dem",0.122503328894807,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Johann Adolph Hasse","high",1,188,"Fra_lo","Did",0.12180746561886,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Johann Adolph Hasse","high",2,2130,"Torna_innocente","Art",0.117962466487936,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_Degree7_Per_relative",-5.3717731432484,"Johann Adolph Hasse","high",3,577,"Nel_tuo","Dem",0.115606936416185,0.06761313078881,0.0569777966374849,0.0699072502496886,0.0676672876894702
"PartVnI_IntervalM3_Per",5.23203319699677,"Baldassare Galuppi","low",1,493,"Ardi_per","Did",0.0014245014245014,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Baldassare Galuppi","low",2,2529,"Tormento_il","Did",0.0053475935828877,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Baldassare Galuppi","low",3,1207,"In_te","Dem",0.0075431034482758,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Davide Perez","high",1,1065,"E_maggiore","Ale",0.0741687979539642,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Davide Perez","high",2,1936,"Sogna_il","Art",0.0727673649393605,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Davide Perez","high",3,1376,"Se_e","Ale",0.0717488789237668,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Niccolò Jommelli","low",1,330,"Chiamami_pur","Did",0.001254705144291,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Niccolò Jommelli","low",2,2404,"Sogna_il","Art",0.0031847133757961,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Niccolò Jommelli","low",3,357,"Son_quel","Did",0.0036742192284139,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Johann Adolph Hasse","low",1,722,"Vil_trofeo","Ale",0,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Johann Adolph Hasse","low",2,578,"Odo_il","Dem",0.0011098779134295,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalM3_Per",5.23203319699677,"Johann Adolph Hasse","low",3,195,"Chiamami_pur","Did",0.0014903129657228,0.0220761289342089,0.0310367816378216,0.0231258812940423,0.0207256426314002
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Baldassare Galuppi","high",1,774,"Vado_ma","Did",0.515742128935532,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Baldassare Galuppi","high",2,1147,"Tu_mi_scorgi","Did",0.490996398559424,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Baldassare Galuppi","high",3,671,"Chi_vive","Ale",0.468030690537084,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Davide Perez","low",1,717,"Dove_si","Ale",0.134986225895317,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Davide Perez","low",2,1933,"Dimmi_che","Art",0.136120042872454,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Davide Perez","low",3,1943,"Non_ti","Art",0.147625160462131,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Niccolò Jommelli","high",1,200,"Tu_mi_scorgi","Did",0.519250780437045,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Niccolò Jommelli","high",2,2036,"Torna_innocente","Art",0.507625272331155,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Niccolò Jommelli","high",3,222,"Vivi_superbo","Did",0.498886414253898,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Johann Adolph Hasse","high",1,192,"Vedi_nel","Did",0.548387096774194,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Johann Adolph Hasse","high",2,2093,"Spiega_i","Art",0.54646017699115,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAll_Per",-7.35151567347009,"Johann Adolph Hasse","high",3,2165,"Non_e","Art",0.530612244897959,0.371053518174267,0.323764952584405,0.374721933624465,0.360323368760608
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Baldassare Galuppi","high",1,1214,"E_soccorso","Dem",0.231536926147705,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Baldassare Galuppi","high",2,2035,"Cosi_stupisce","Art",0.22051282051282,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Baldassare Galuppi","high",3,1147,"Tu_mi_scorgi","Did",0.217286914765906,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Davide Perez","low",1,1939,"Fra_cento","Art",0.0464700625558534,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Davide Perez","low",2,2772,"E_falso","Adr",0.0547945205479452,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Davide Perez","low",3,2775,"Barbaro_non","Adr",0.0553235908141962,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Niccolò Jommelli","high",1,2402,"Cosi_stupisce","Art",0.294294294294294,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Niccolò Jommelli","high",2,1185,"Odo_il","Dem",0.241618497109826,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Niccolò Jommelli","high",3,954,"Che_mai","Dem",0.241379310344828,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Johann Adolph Hasse","low",1,2069,"Va_tra","Art",0.036726128016789,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Johann Adolph Hasse","low",2,746,"Dove_si","Ale",0.0388151174668028,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVnI_IntervalsMajorAsc_Per",-4.58651535267868,"Johann Adolph Hasse","low",3,195,"Chiamami_pur","Did",0.0476900149031296,0.147826740617132,0.126205212869695,0.156664544785425,0.135859821578418
"PartVn_Degree1_Per_relative",9.96019252046951,"Baldassare Galuppi","low",1,673,"Se_mai","Ale",0.159517857142857,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Baldassare Galuppi","low",2,1211,"Padre_perdona","Dem",0.163723943510472,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Baldassare Galuppi","low",3,1240,"Il_suo","Dem",0.16484205194914,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Davide Perez","high",1,1064,"Se_amore","Ale",0.336283039777416,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Davide Perez","high",2,1943,"Non_ti","Art",0.321153846153846,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Davide Perez","high",3,1938,"Non_temer_chio","Art",0.314331650928036,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Niccolò Jommelli","low",1,1611,"Dove_si","Ale",0.132543209876543,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Niccolò Jommelli","low",2,2120,"Conservati_fedele","Art",0.14153053061401,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Niccolò Jommelli","low",3,951,"La_destra","Dem",0.150797564214869,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Johann Adolph Hasse","low",1,194,"Veggio_la","Did",0.14624007413032,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Johann Adolph Hasse","low",2,2320,"Dove_si","Ale",0.147021329825212,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree1_Per_relative",9.96019252046951,"Johann Adolph Hasse","low",3,862,"No_non","Dem",0.1494613318684,0.210600211759498,0.242129063730989,0.216105824100935,0.224873630544936
"PartVn_Degree3_Per_relative",7.38975022276365,"Baldassare Galuppi","low",1,506,"Ah_non_lasciarmi","Did",0.111459853855335,0.164229097198691,0.186446896519617,0.160509126463162,0.151971043573317
